From	To	Species	Gene Name
LOC111130549	111130549	Crassostrea virginica	ATP synthase subunit alpha, mitochondrial-like(LOC111130549)
LOC111128227	111128227	Crassostrea virginica	tyrosine-protein phosphatase non-receptor type 9-like(LOC111128227)
LOC111130547	111130547	Crassostrea virginica	uncharacterized LOC111130547(LOC111130547)
LOC111129558	111129558	Crassostrea virginica	uncharacterized LOC111129558(LOC111129558)
LOC111128229	111128229	Crassostrea virginica	ubiquitin-conjugating enzyme E2 R2-like(LOC111128229)
LOC111130545	111130545	Crassostrea virginica	homeobox protein Meis1-like(LOC111130545)
LOC111130544	111130544	Crassostrea virginica	ras GTPase-activating protein 1-like(LOC111130544)
LOC111129559	111129559	Crassostrea virginica	U3 small nucleolar ribonucleoprotein protein MPP10-like(LOC111129559)
LOC111130541	111130541	Crassostrea virginica	stAR-related lipid transfer protein 5-like(LOC111130541)
LOC111116277	111116277	Crassostrea virginica	uncharacterized LOC111116277(LOC111116277)
LOC111116273	111116273	Crassostrea virginica	uncharacterized protein K02A2.6-like(LOC111116273)
LOC111104289	111104289	Crassostrea virginica	DEP domain-containing protein 7-like(LOC111104289)
LOC111128233	111128233	Crassostrea virginica	probable ATP-dependent RNA helicase DDX49(LOC111128233)
LOC111129564	111129564	Crassostrea virginica	microfibril-associated glycoprotein 4-like(LOC111129564)
LOC111128236	111128236	Crassostrea virginica	peroxiredoxin-5, mitochondrial-like(LOC111128236)
LOC111104287	111104287	Crassostrea virginica	uncharacterized LOC111104287(LOC111104287)
LOC111129566	111129566	Crassostrea virginica	neuronal acetylcholine receptor subunit alpha-3-like(LOC111129566)
LOC111104286	111104286	Crassostrea virginica	uncharacterized LOC111104286(LOC111104286)
LOC111129561	111129561	Crassostrea virginica	uncharacterized LOC111129561(LOC111129561)
LOC111104285	111104285	Crassostrea virginica	beta-1,4-galactosyltransferase galt-1-like(LOC111104285)
LOC111104284	111104284	Crassostrea virginica	activating signal cointegrator 1 complex subunit 3-like(LOC111104284)
LOC111117591	111117591	Crassostrea virginica	uncharacterized LOC111117591(LOC111117591)
LOC111130559	111130559	Crassostrea virginica	protein pygopus-like(LOC111130559)
LOC111130557	111130557	Crassostrea virginica	probable L-asparaginase 2(LOC111130557)
LOC111129568	111129568	Crassostrea virginica	luc7-like protein 3(LOC111129568)
LOC111130556	111130556	Crassostrea virginica	uncharacterized LOC111130556(LOC111130556)
LOC111128239	111128239	Crassostrea virginica	dehydrogenase/reductase SDR family member 4-like(LOC111128239)
LOC111130555	111130555	Crassostrea virginica	uncharacterized LOC111130555(LOC111130555)
LOC111130553	111130553	Crassostrea virginica	coiled-coil domain-containing protein 112-like(LOC111130553)
LOC111116268	111116268	Crassostrea virginica	uncharacterized LOC111116268(LOC111116268)
LOC111130551	111130551	Crassostrea virginica	uncharacterized LOC111130551(LOC111130551)
LOC111130550	111130550	Crassostrea virginica	MIP18 family protein FAM96A-like(LOC111130550)
LOC111117595	111117595	Crassostrea virginica	palmitoyl-protein thioesterase 1-like(LOC111117595)
LOC111116264	111116264	Crassostrea virginica	ornithine decarboxylase antizyme 3-like(LOC111116264)
LOC111128281	111128281	Crassostrea virginica	uncharacterized LOC111128281(LOC111128281)
LOC111128283	111128283	Crassostrea virginica	formin-2-like(LOC111128283)
LOC111128282	111128282	Crassostrea virginica	alpha-mannosidase 2-like(LOC111128282)
LOC111116290	111116290	Crassostrea virginica	aggrecan core protein-like(LOC111116290)
LOC111116294	111116294	Crassostrea virginica	putative nuclease HARBI1(LOC111116294)
LOC111116295	111116295	Crassostrea virginica	uncharacterized LOC111116295(LOC111116295)
LOC111128292	111128292	Crassostrea virginica	mitogen-activated protein kinase-binding protein 1-like(LOC111128292)
LOC111116287	111116287	Crassostrea virginica	nuclear apoptosis-inducing factor 1-like(LOC111116287)
LOC111116285	111116285	Crassostrea virginica	putative nuclease HARBI1(LOC111116285)
LOC111129592	111129592	Crassostrea virginica	uncharacterized LOC111129592(LOC111129592)
LOC111128268	111128268	Crassostrea virginica	DNA repair protein RAD51 homolog 1(LOC111128268)
LOC111129593	111129593	Crassostrea virginica	deleted in malignant brain tumors 1 protein-like(LOC111129593)
LOC111128265	111128265	Crassostrea virginica	serine/threonine-protein kinase RIO2-like(LOC111128265)
LOC111130587	111130587	Crassostrea virginica	uncharacterized LOC111130587(LOC111130587)
LOC111130584	111130584	Crassostrea virginica	uncharacterized LOC111130584(LOC111130584)
LOC111130582	111130582	Crassostrea virginica	cyclin-dependent kinase-like 1(LOC111130582)
LOC111130581	111130581	Crassostrea virginica	mitogen-activated protein kinase kinase kinase kinase 3-like(LOC111130581)
LOC111130580	111130580	Crassostrea virginica	DNA repair protein REV1-like(LOC111130580)
LOC111128270	111128270	Crassostrea virginica	arginine-hydroxylase NDUFAF5, mitochondrial-like(LOC111128270)
LOC111130590	111130590	Crassostrea virginica	thyroid adenoma-associated protein homolog(LOC111130590)
LOC111128277	111128277	Crassostrea virginica	arrestin domain-containing protein 3-like(LOC111128277)
LOC111128279	111128279	Crassostrea virginica	protein prenyltransferase alpha subunit repeat-containing protein 1-like(LOC111128279)
LOC111128276	111128276	Crassostrea virginica	alpha-(1,6)-fucosyltransferase-like(LOC111128276)
LOC111130599	111130599	Crassostrea virginica	putative E3 ubiquitin-protein ligase UBR7(LOC111130599)
LOC111130598	111130598	Crassostrea virginica	uncharacterized LOC111130598(LOC111130598)
LOC111130594	111130594	Crassostrea virginica	vesicular glutamate transporter 3-like(LOC111130594)
LOC111130593	111130593	Crassostrea virginica	WD repeat-containing protein 93-like(LOC111130593)
LOC111130592	111130592	Crassostrea virginica	serum response factor-like(LOC111130592)
LOC111106719	111106719	Crassostrea virginica	uncharacterized LOC111106719(LOC111106719)
LOC111106712	111106712	Crassostrea virginica	connector enhancer of kinase suppressor of ras 2-like(LOC111106712)
LOC111106709	111106709	Crassostrea virginica	uncharacterized LOC111106709(LOC111106709)
LOC111106706	111106706	Crassostrea virginica	ATP-binding cassette sub-family A member 3-like(LOC111106706)
LOC111118716	111118716	Crassostrea virginica	uncharacterized LOC111118716(LOC111118716)
LOC111118713	111118713	Crassostrea virginica	hippocampus abundant transcript 1 protein-like(LOC111118713)
LOC111118710	111118710	Crassostrea virginica	vasculin-like protein 1(LOC111118710)
LOC111106732	111106732	Crassostrea virginica	uncharacterized LOC111106732(LOC111106732)
LOC111106737	111106737	Crassostrea virginica	cadherin-23-like(LOC111106737)
LOC111118706	111118706	Crassostrea virginica	uncharacterized LOC111118706(LOC111118706)
LOC111118705	111118705	Crassostrea virginica	netrin-1-like(LOC111118705)
LOC111118703	111118703	Crassostrea virginica	ERI1 exoribonuclease 2-like(LOC111118703)
LOC111118702	111118702	Crassostrea virginica	F-box protein At1g78280-like(LOC111118702)
LOC111118701	111118701	Crassostrea virginica	nucleosome-remodeling factor subunit NURF301-like(LOC111118701)
LOC111131700	111131700	Crassostrea virginica	kanadaptin-like(LOC111131700)
LOC111131704	111131704	Crassostrea virginica	dual specificity mitogen-activated protein kinase kinase 5-like(LOC111131704)
LOC111131705	111131705	Crassostrea virginica	heterogeneous nuclear ribonucleoprotein H-like(LOC111131705)
LOC111131706	111131706	Crassostrea virginica	organic cation transporter protein-like(LOC111131706)
LOC111106726	111106726	Crassostrea virginica	baculoviral IAP repeat-containing protein 2-like(LOC111106726)
LOC111106728	111106728	Crassostrea virginica	uncharacterized LOC111106728(LOC111106728)
LOC111118739	111118739	Crassostrea virginica	mRNA turnover protein 4 homolog(LOC111118739)
LOC111118738	111118738	Crassostrea virginica	ras GTPase-activating protein-binding protein 2-like(LOC111118738)
LOC111106750	111106750	Crassostrea virginica	protein bicaudal D-like(LOC111106750)
LOC111106752	111106752	Crassostrea virginica	uncharacterized LOC111106752(LOC111106752)
LOC111117403	111117403	Crassostrea virginica	multiple epidermal growth factor-like domains protein 10(LOC111117403)
LOC111106753	111106753	Crassostrea virginica	zinc transporter 2-like(LOC111106753)
LOC111105422	111105422	Crassostrea virginica	tubby-related protein 4-like(LOC111105422)
LOC111105421	111105421	Crassostrea virginica	uncharacterized LOC111105421(LOC111105421)
LOC111105429	111105429	Crassostrea virginica	eukaryotic translation initiation factor 1A-like(LOC111105429)
LOC111105423	111105423	Crassostrea virginica	integrase/recombinase xerD homolog(LOC111105423)
LOC111118732	111118732	Crassostrea virginica	meiosis inhibitor protein 1-like(LOC111118732)
LOC111106754	111106754	Crassostrea virginica	serine/threonine-protein kinase PAK 1-like(LOC111106754)
LOC111118731	111118731	Crassostrea virginica	protein transport protein Sec24A-like(LOC111118731)
LOC111106755	111106755	Crassostrea virginica	serine/threonine-protein kinase PAK 3-like(LOC111106755)
LOC111106757	111106757	Crassostrea virginica	uncharacterized LOC111106757(LOC111106757)
LOC111118727	111118727	Crassostrea virginica	protein FAM199X-like(LOC111118727)
LOC111118725	111118725	Crassostrea virginica	cGMP-dependent protein kinase 1-like(LOC111118725)
LOC111105416	111105416	Crassostrea virginica	uncharacterized LOC111105416(LOC111105416)
LOC111118721	111118721	Crassostrea virginica	zinc finger protein 862-like(LOC111118721)
LOC111106749	111106749	Crassostrea virginica	uncharacterized LOC111106749(LOC111106749)
LOC111106770	111106770	Crassostrea virginica	kelch-like protein 3(LOC111106770)
LOC111118756	111118756	Crassostrea virginica	nuclear apoptosis-inducing factor 1-like(LOC111118756)
LOC111131730	111131730	Crassostrea virginica	elongation factor 2-like(LOC111131730)
LOC111118755	111118755	Crassostrea virginica	putative nuclease HARBI1(LOC111118755)
LOC111131731	111131731	Crassostrea virginica	kanadaptin-like(LOC111131731)
LOC111106775	111106775	Crassostrea virginica	uncharacterized LOC111106775(LOC111106775)
LOC111129411	111129411	Crassostrea virginica	palmitoyltransferase ZDHHC22-like(LOC111129411)
LOC111131732	111131732	Crassostrea virginica	uncharacterized LOC111131732(LOC111131732)
LOC111104113	111104113	Crassostrea virginica	A disintegrin and metalloproteinase with thrombospondin motifs adt-2-like(LOC111104113)
LOC111104112	111104112	Crassostrea virginica	DNA ligase 1-like(LOC111104112)
LOC111131734	111131734	Crassostrea virginica	uncharacterized LOC111131734(LOC111131734)
LOC111130408	111130408	Crassostrea virginica	aryl hydrocarbon receptor nuclear translocator homolog(LOC111130408)
LOC111129419	111129419	Crassostrea virginica	uncharacterized LOC111129419(LOC111129419)
LOC111130407	111130407	Crassostrea virginica	uncharacterized LOC111130407(LOC111130407)
LOC111130406	111130406	Crassostrea virginica	uncharacterized LOC111130406(LOC111130406)
LOC111130405	111130405	Crassostrea virginica	conserved oligomeric Golgi complex subunit 1-like(LOC111130405)
LOC111105449	111105449	Crassostrea virginica	UPF0769 protein C21orf59 homolog(LOC111105449)
LOC111130404	111130404	Crassostrea virginica	ribosomal protein S6 kinase delta-1-like(LOC111130404)
LOC111104117	111104117	Crassostrea virginica	paired box protein Pax-6-like(LOC111104117)
LOC111130402	111130402	Crassostrea virginica	TM2 domain-containing protein 3-like(LOC111130402)
LOC111104114	111104114	Crassostrea virginica	39S ribosomal protein L19, mitochondrial-like(LOC111104114)
LOC111130400	111130400	Crassostrea virginica	cytoplasmic dynein 2 light intermediate chain 1-like(LOC111130400)
LOC111118753	111118753	Crassostrea virginica	netrin receptor UNC5C-like(LOC111118753)
LOC111106777	111106777	Crassostrea virginica	alpha-L-fucosidase-like(LOC111106777)
LOC111117417	111117417	Crassostrea virginica	transcription factor 4-like(LOC111117417)
LOC111118746	111118746	Crassostrea virginica	uncharacterized LOC111118746(LOC111118746)
LOC111131740	111131740	Crassostrea virginica	T-complex protein 1 subunit gamma-like(LOC111131740)
LOC111118745	111118745	Crassostrea virginica	transportin-1-like(LOC111118745)
LOC111105433	111105433	Crassostrea virginica	zinc finger C3H1 domain-containing protein-like(LOC111105433)
LOC111104101	111104101	Crassostrea virginica	CTP synthase 1-like(LOC111104101)
LOC111129424	111129424	Crassostrea virginica	uncharacterized LOC111129424(LOC111129424)
LOC111131745	111131745	Crassostrea virginica	uncharacterized LOC111131745(LOC111131745)
LOC111104100	111104100	Crassostrea virginica	metabotropic glutamate receptor 1-like(LOC111104100)
LOC111131749	111131749	Crassostrea virginica	dynein heavy chain 6, axonemal-like(LOC111131749)
LOC111130409	111130409	Crassostrea virginica	homer protein homolog 2-like(LOC111130409)
LOC111130419	111130419	Crassostrea virginica	aldehyde dehydrogenase, mitochondrial-like(LOC111130419)
LOC111130418	111130418	Crassostrea virginica	sorting nexin-27-like(LOC111130418)
LOC111104109	111104109	Crassostrea virginica	uncharacterized LOC111104109(LOC111104109)
LOC111130417	111130417	Crassostrea virginica	uncharacterized aarF domain-containing protein kinase 1-like(LOC111130417)
LOC111130416	111130416	Crassostrea virginica	SNW domain-containing protein 1-like(LOC111130416)
LOC111130415	111130415	Crassostrea virginica	uncharacterized LOC111130415(LOC111130415)
LOC111105437	111105437	Crassostrea virginica	uncharacterized protein C6orf118-like(LOC111105437)
LOC111104106	111104106	Crassostrea virginica	DNA-binding protein D-ETS-4-like(LOC111104106)
LOC111130413	111130413	Crassostrea virginica	nuclear RNA export factor 1-like(LOC111130413)
LOC111104104	111104104	Crassostrea virginica	uncharacterized protein C11orf65 homolog(LOC111104104)
LOC111130412	111130412	Crassostrea virginica	zinc finger protein 474-like(LOC111130412)
LOC111105434	111105434	Crassostrea virginica	spondin-1-like(LOC111105434)
LOC111130411	111130411	Crassostrea virginica	proteasome subunit alpha type-4-like(LOC111130411)
LOC111130410	111130410	Crassostrea virginica	uncharacterized LOC111130410(LOC111130410)
LOC111106766	111106766	Crassostrea virginica	tetratricopeptide repeat protein 38-like(LOC111106766)
LOC111106790	111106790	Crassostrea virginica	uncharacterized LOC111106790(LOC111106790)
LOC111106792	111106792	Crassostrea virginica	uncharacterized LOC111106792(LOC111106792)
LOC111106794	111106794	Crassostrea virginica	uncharacterized LOC111106794(LOC111106794)
LOC111117449	111117449	Crassostrea virginica	uncharacterized LOC111117449(LOC111117449)
LOC111106795	111106795	Crassostrea virginica	uncharacterized LOC111106795(LOC111106795)
LOC111106796	111106796	Crassostrea virginica	uncharacterized LOC111106796(LOC111106796)
LOC111106797	111106797	Crassostrea virginica	uncharacterized LOC111106797(LOC111106797)
LOC111105466	111105466	Crassostrea virginica	uncharacterized LOC111105466(LOC111105466)
LOC111104135	111104135	Crassostrea virginica	protein OSCP1-like(LOC111104135)
LOC111104134	111104134	Crassostrea virginica	24-hydroxycholesterol 7-alpha-hydroxylase-like(LOC111104134)
LOC111131712	111131712	Crassostrea virginica	uncharacterized LOC111131712(LOC111131712)
LOC111105464	111105464	Crassostrea virginica	zinc finger protein 76-like(LOC111105464)
LOC111104133	111104133	Crassostrea virginica	zinc finger protein 263-like(LOC111104133)
LOC111131713	111131713	Crassostrea virginica	collagen alpha-4(VI) chain-like(LOC111131713)
LOC111105462	111105462	Crassostrea virginica	E3 ubiquitin-protein ligase Mdm2-like(LOC111105462)
LOC111105460	111105460	Crassostrea virginica	vacuolar protein sorting-associated protein VTA1 homolog(LOC111105460)
LOC111131708	111131708	Crassostrea virginica	uncharacterized LOC111131708(LOC111131708)
LOC111104139	111104139	Crassostrea virginica	E3 ubiquitin-protein ligase HACE1-like(LOC111104139)
LOC111104137	111104137	Crassostrea virginica	decaprenyl-diphosphate synthase subunit 2-like(LOC111104137)
LOC111118776	111118776	Crassostrea virginica	zinc finger SWIM domain-containing protein 6-like(LOC111118776)
LOC111118772	111118772	Crassostrea virginica	histone H3-like centromeric protein hH3v(LOC111118772)
LOC111118771	111118771	Crassostrea virginica	histone H3-like centromeric protein hH3v(LOC111118771)
LOC111118770	111118770	Crassostrea virginica	histone H3-like centromeric protein hH3v(LOC111118770)
LOC111106780	111106780	Crassostrea virginica	amidase-like(LOC111106780)
LOC111117437	111117437	Crassostrea virginica	uncharacterized LOC111117437(LOC111117437)
LOC111118768	111118768	Crassostrea virginica	uncharacterized LOC111118768(LOC111118768)
LOC111117436	111117436	Crassostrea virginica	kelch-like protein 21(LOC111117436)
LOC111131720	111131720	Crassostrea virginica	ubiquitin-like modifier-activating enzyme 6(LOC111131720)
LOC111106786	111106786	Crassostrea virginica	THAP domain-containing protein 10-like(LOC111106786)
LOC111129400	111129400	Crassostrea virginica	UPF0394 inner membrane protein YeeE-like(LOC111129400)
LOC111131721	111131721	Crassostrea virginica	origin recognition complex subunit 4-like(LOC111131721)
LOC111105455	111105455	Crassostrea virginica	uncharacterized LOC111105455(LOC111105455)
LOC111104123	111104123	Crassostrea virginica	gastric triacylglycerol lipase-like(LOC111104123)
LOC111105453	111105453	Crassostrea virginica	uncharacterized protein KIAA0895-like(LOC111105453)
LOC111104121	111104121	Crassostrea virginica	uncharacterized LOC111104121(LOC111104121)
LOC111131725	111131725	Crassostrea virginica	outer dense fiber protein 3-like(LOC111131725)
LOC111129408	111129408	Crassostrea virginica	thiosulfate sulfurtransferase-like(LOC111129408)
LOC111129409	111129409	Crassostrea virginica	thiosulfate sulfurtransferase-like(LOC111129409)
LOC111129404	111129404	Crassostrea virginica	homeobox protein six1-like(LOC111129404)
LOC111105459	111105459	Crassostrea virginica	DNA helicase B-like(LOC111105459)
LOC111104128	111104128	Crassostrea virginica	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial-like(LOC111104128)
LOC111104127	111104127	Crassostrea virginica	4-nitrophenylphosphatase-like(LOC111104127)
LOC111129405	111129405	Crassostrea virginica	homeobox protein six1-like(LOC111129405)
LOC111105456	111105456	Crassostrea virginica	uncharacterized LOC111105456(LOC111105456)
LOC111106788	111106788	Crassostrea virginica	G-protein coupled receptor 157-like(LOC111106788)
LOC111118761	111118761	Crassostrea virginica	histone H2A-like(LOC111118761)
LOC111131771	111131771	Crassostrea virginica	RNA-binding protein lark-like(LOC111131771)
LOC111117468	111117468	Crassostrea virginica	tripartite motif-containing protein 2-like(LOC111117468)
LOC111116137	111116137	Crassostrea virginica	WD repeat-containing protein 74-like(LOC111116137)
LOC111131775	111131775	Crassostrea virginica	3-hydroxyanthranilate 3,4-dioxygenase-like(LOC111131775)
LOC111128124	111128124	Crassostrea virginica	DNA polymerase iota-like(LOC111128124)
LOC111131778	111131778	Crassostrea virginica	uncharacterized LOC111131778(LOC111131778)
LOC111104153	111104153	Crassostrea virginica	X-ray repair cross-complementing protein 5-like(LOC111104153)
LOC111128122	111128122	Crassostrea virginica	annexin A6-like(LOC111128122)
LOC111128121	111128121	Crassostrea virginica	spermatogenesis-associated protein 5-like protein 1(LOC111128121)
LOC111118790	111118790	Crassostrea virginica	uncharacterized LOC111118790(LOC111118790)
LOC111128127	111128127	Crassostrea virginica	organic cation transporter-like protein(LOC111128127)
LOC111104159	111104159	Crassostrea virginica	monocarboxylate transporter 12-like(LOC111104159)
LOC111117466	111117466	Crassostrea virginica	uncharacterized LOC111117466(LOC111117466)
LOC111118797	111118797	Crassostrea virginica	tektin-2-like(LOC111118797)
LOC111130443	111130443	Crassostrea virginica	uncharacterized LOC111130443(LOC111130443)
LOC111118796	111118796	Crassostrea virginica	nucleoprotein TPR-like(LOC111118796)
LOC111118795	111118795	Crassostrea virginica	protein IWS1 homolog(LOC111118795)
LOC111118794	111118794	Crassostrea virginica	folliculin-interacting protein 1-like(LOC111118794)
LOC111118792	111118792	Crassostrea virginica	uncharacterized LOC111118792(LOC111118792)
LOC111118791	111118791	Crassostrea virginica	BTB/POZ domain-containing protein 17-like(LOC111118791)
LOC111116130	111116130	Crassostrea virginica	coiled-coil domain-containing protein 148-like(LOC111116130)
LOC111131781	111131781	Crassostrea virginica	arylsulfatase-like(LOC111131781)
LOC111131783	111131783	Crassostrea virginica	uncharacterized LOC111131783(LOC111131783)
LOC111116128	111116128	Crassostrea virginica	ankyrin-1-like(LOC111116128)
LOC111131784	111131784	Crassostrea virginica	caprin-1-like(LOC111131784)
LOC111131785	111131785	Crassostrea virginica	uncharacterized LOC111131785(LOC111131785)
LOC111131786	111131786	Crassostrea virginica	integrator complex subunit 14-like(LOC111131786)
LOC111129466	111129466	Crassostrea virginica	intraflagellar transport protein 43 homolog A-like(LOC111129466)
LOC111131787	111131787	Crassostrea virginica	crooked neck-like protein 1(LOC111131787)
LOC111105477	111105477	Crassostrea virginica	uncharacterized LOC111105477(LOC111105477)
LOC111104146	111104146	Crassostrea virginica	uncharacterized LOC111104146(LOC111104146)
LOC111129465	111129465	Crassostrea virginica	uncharacterized protein C2orf73 homolog(LOC111129465)
LOC111131788	111131788	Crassostrea virginica	DNA mismatch repair protein Msh3-like(LOC111131788)
LOC111104145	111104145	Crassostrea virginica	28S ribosomal protein S9, mitochondrial-like(LOC111104145)
LOC111128137	111128137	Crassostrea virginica	uncharacterized LOC111128137(LOC111128137)
LOC111131789	111131789	Crassostrea virginica	uncharacterized LOC111131789(LOC111131789)
LOC111128136	111128136	Crassostrea virginica	aldose 1-epimerase-like(LOC111128136)
LOC111129467	111129467	Crassostrea virginica	anaphase-promoting complex subunit 1-like(LOC111129467)
LOC111105474	111105474	Crassostrea virginica	brachyury protein-like(LOC111105474)
LOC111104143	111104143	Crassostrea virginica	outer dense fiber protein 3-B-like(LOC111104143)
LOC111128130	111128130	Crassostrea virginica	cancer-related nucleoside-triphosphatase-like(LOC111128130)
LOC111129461	111129461	Crassostrea virginica	glycogen phosphorylase, muscle form-like(LOC111129461)
LOC111105472	111105472	Crassostrea virginica	uncharacterized LOC111105472(LOC111105472)
LOC111104141	111104141	Crassostrea virginica	protein arginine N-methyltransferase 3-like(LOC111104141)
LOC111128133	111128133	Crassostrea virginica	sacsin-like(LOC111128133)
LOC111129464	111129464	Crassostrea virginica	spermatogenesis-associated protein 17-like(LOC111129464)
LOC111128132	111128132	Crassostrea virginica	U3 small nucleolar RNA-associated protein 15 homolog(LOC111128132)
LOC111128139	111128139	Crassostrea virginica	nascent polypeptide-associated complex subunit alpha-like(LOC111128139)
LOC111130459	111130459	Crassostrea virginica	60S ribosomal export protein NMD3-like(LOC111130459)
LOC111130458	111130458	Crassostrea virginica	ADP-dependent glucokinase-like(LOC111130458)
LOC111129469	111129469	Crassostrea virginica	differentially expressed in FDCP 8 homolog A-like(LOC111129469)
LOC111130457	111130457	Crassostrea virginica	uncharacterized LOC111130457(LOC111130457)
LOC111104148	111104148	Crassostrea virginica	polycomb protein EED-like(LOC111104148)
LOC111130456	111130456	Crassostrea virginica	early endosome antigen 1-like(LOC111130456)
LOC111104147	111104147	Crassostrea virginica	protein artichoke-like(LOC111104147)
LOC111117455	111117455	Crassostrea virginica	uncharacterized LOC111117455(LOC111117455)
LOC111130455	111130455	Crassostrea virginica	cytochrome P450 2C28-like(LOC111130455)
LOC111116124	111116124	Crassostrea virginica	plexin domain-containing protein 1-like(LOC111116124)
LOC111117456	111117456	Crassostrea virginica	endothelin-converting enzyme 1-like(LOC111117456)
LOC111118786	111118786	Crassostrea virginica	uncharacterized LOC111118786(LOC111118786)
LOC111130453	111130453	Crassostrea virginica	uncharacterized LOC111130453(LOC111130453)
LOC111130452	111130452	Crassostrea virginica	thioredoxin domain-containing protein 16-like(LOC111130452)
LOC111116123	111116123	Crassostrea virginica	uncharacterized LOC111116123(LOC111116123)
LOC111117451	111117451	Crassostrea virginica	uncharacterized LOC111117451(LOC111117451)
LOC111117452	111117452	Crassostrea virginica	SAC3 domain-containing protein 1-like(LOC111117452)
LOC111116121	111116121	Crassostrea virginica	NAD(P)H-hydrate epimerase-like(LOC111116121)
LOC111118780	111118780	Crassostrea virginica	mediator of DNA damage checkpoint protein 1-like(LOC111118780)
LOC111131750	111131750	Crassostrea virginica	polyribonucleotide nucleotidyltransferase 1, mitochondrial-like(LOC111131750)
LOC111131751	111131751	Crassostrea virginica	zinc finger protein 318-like(LOC111131751)
LOC111131752	111131752	Crassostrea virginica	zinc transporter 1-like(LOC111131752)
LOC111116159	111116159	Crassostrea virginica	acetylcholinesterase-like(LOC111116159)
LOC111131753	111131753	Crassostrea virginica	ankyrin repeat domain-containing protein 17-like(LOC111131753)
LOC111128102	111128102	Crassostrea virginica	mediator of RNA polymerase II transcription subunit 6-like(LOC111128102)
LOC111128101	111128101	Crassostrea virginica	neudesin-like(LOC111128101)
LOC111131755	111131755	Crassostrea virginica	dehydrogenase/reductase SDR family member 7-like(LOC111131755)
LOC111128103	111128103	Crassostrea virginica	RNA polymerase-associated protein CTR9 homolog(LOC111128103)
LOC111104176	111104176	Crassostrea virginica	decaprenyl-diphosphate synthase subunit 2-like(LOC111104176)
LOC111131759	111131759	Crassostrea virginica	cytochrome P450 4F4-like(LOC111131759)
LOC111129431	111129431	Crassostrea virginica	solute carrier family 40 member 1-like(LOC111129431)
LOC111104172	111104172	Crassostrea virginica	uncharacterized LOC111104172(LOC111104172)
LOC111128109	111128109	Crassostrea virginica	DET1- and DDB1-associated protein 1-like(LOC111128109)
LOC111130429	111130429	Crassostrea virginica	uncharacterized LOC111130429(LOC111130429)
LOC111116150	111116150	Crassostrea virginica	cytochrome P450 20A1-like(LOC111116150)
LOC111130428	111130428	Crassostrea virginica	peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase-like(LOC111130428)
LOC111130426	111130426	Crassostrea virginica	integral membrane protein GPR137B-like(LOC111130426)
LOC111130425	111130425	Crassostrea virginica	phospholipase D3-like(LOC111130425)
LOC111128108	111128108	Crassostrea virginica	N-acetylated-alpha-linked acidic dipeptidase 2-like(LOC111128108)
LOC111130424	111130424	Crassostrea virginica	uncharacterized LOC111130424(LOC111130424)
LOC111130423	111130423	Crassostrea virginica	putative ATP-dependent RNA helicase TDRD9(LOC111130423)
LOC111116157	111116157	Crassostrea virginica	putative nuclease HARBI1(LOC111116157)
LOC111116158	111116158	Crassostrea virginica	integrin beta-1-A-like(LOC111116158)
LOC111116153	111116153	Crassostrea virginica	proline-rich protein 36-like(LOC111116153)
LOC111117485	111117485	Crassostrea virginica	testis-expressed protein 9-like(LOC111117485)
LOC111117483	111117483	Crassostrea virginica	uncharacterized LOC111117483(LOC111117483)
LOC111104160	111104160	Crassostrea virginica	dynein heavy chain 5, axonemal-like(LOC111104160)
LOC111131761	111131761	Crassostrea virginica	uncharacterized LOC111131761(LOC111131761)
LOC111131763	111131763	Crassostrea virginica	ubiquitin-associated protein 2-like(LOC111131763)
LOC111131764	111131764	Crassostrea virginica	protein phosphatase 1 regulatory subunit 21-like(LOC111131764)
LOC111128113	111128113	Crassostrea virginica	sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3-like(LOC111128113)
LOC111105499	111105499	Crassostrea virginica	tubby-related protein 4-like(LOC111105499)
LOC111104168	111104168	Crassostrea virginica	PRKC apoptosis WT1 regulator protein-like(LOC111104168)
LOC111131766	111131766	Crassostrea virginica	zinc transporter 1-like(LOC111131766)
LOC111104167	111104167	Crassostrea virginica	origin recognition complex subunit 3-like(LOC111104167)
LOC111129446	111129446	Crassostrea virginica	uncharacterized LOC111129446(LOC111129446)
LOC111105497	111105497	Crassostrea virginica	cysteine and histidine-rich domain-containing protein 1-like(LOC111105497)
LOC111128114	111128114	Crassostrea virginica	phospholipase A-2-activating protein-like(LOC111128114)
LOC111104165	111104165	Crassostrea virginica	lebercilin-like protein(LOC111104165)
LOC111131769	111131769	Crassostrea virginica	dnaJ-like protein MG002 homolog(LOC111131769)
LOC111104164	111104164	Crassostrea virginica	neurofilament medium polypeptide-like(LOC111104164)
LOC111128111	111128111	Crassostrea virginica	sorbitol dehydrogenase-like(LOC111128111)
LOC111130439	111130439	Crassostrea virginica	hydrolethalus syndrome protein 1 homolog(LOC111130439)
LOC111128116	111128116	Crassostrea virginica	ribosome biogenesis protein NSA2 homolog(LOC111128116)
LOC111130434	111130434	Crassostrea virginica	potassium voltage-gated channel subfamily H member 1-like(LOC111130434)
LOC111104169	111104169	Crassostrea virginica	39S ribosomal protein L9, mitochondrial-like(LOC111104169)
